InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
371223,SKU_1135,Blue Pen,-50,2021-02-06 06:00:00.000000 UTC,40.2,,Portugal,0.29,paypall,,Apparel,In-store,Not Returned,DHL,,High
643576,SKU_1435,Notebook,-50,2020-09-04 01:00:00.000000 UTC,-76.42,,Spain,1.2426311299287347,Credit Card,,Furniture,In-store,Not Returned,Royal Mail,,High
789051,SKU_1114,Headphones,-50,2022-05-07 00:00:00.000000 UTC,-20.44,,United States,1.4628601865419761,paypall,,Furniture,Online,Not Returned,DHL,,High
989433,SKU_1210,Headphones,-50,2025-03-28 09:00:00.000000 UTC,3.16,,Sweden,0.49,paypall,,Stationery,Online,Not Returned,UPS,,High
795047,SKU_1932,Headphones,-50,2023-05-21 04:00:00.000000 UTC,-94.97,,Netherlands,1.9430165120424254,Bank Transfer,,Electronics,In-store,Not Returned,UPS,,High
288726,SKU_1540,Headphones,-50,2021-04-23 02:00:00.000000 UTC,-96.11,,France,0.05,paypall,,Accessories,Online,Not Returned,DHL,,High
723540,SKU_1768,Headphones,-50,2022-02-09 03:00:00.000000 UTC,37.44,,Sweden,0.34,Credit Card,,Apparel,Online,Not Returned,UPS,,High
566981,SKU_1566,Headphones,-50,2023-01-03 05:00:00.000000 UTC,-13.67,,Italy,1.7744873484835186,paypall,,Apparel,Online,Not Returned,UPS,,High
608810,SKU_1445,Headphones,-50,2021-09-17 17:00:00.000000 UTC,30.61,,Spain,0.35,Bank Transfer,,Furniture,Online,Not Returned,UPS,,High
473938,SKU_1309,Wall Clock,-50,2022-10-24 21:00:00.000000 UTC,-89.57,,Belgium,1.0717766471798962,paypall,,Electronics,In-store,Returned,FedEx,,High
681491,SKU_1731,Blue Pen,-50,2023-12-13 04:00:00.000000 UTC,-98.19,,Norway,0.13,Bank Transfer,,Electronics,Online,Not Returned,DHL,,High
138734,SKU_1115,USB Cable,-50,2022-04-27 05:00:00.000000 UTC,-54.94,,Spain,0.22,paypall,,Electronics,In-store,Returned,DHL,,High
689833,SKU_1263,Headphones,-50,2020-02-20 19:00:00.000000 UTC,-10.6,,Germany,1.5035882252935397,Credit Card,,Apparel,In-store,Not Returned,FedEx,,High
850201,SKU_1397,USB Cable,-50,2020-01-23 15:00:00.000000 UTC,-98.5,,Germany,0.42,paypall,,Apparel,In-store,Not Returned,DHL,,High
734966,SKU_1950,Blue Pen,-50,2025-03-27 08:00:00.000000 UTC,-45.22,,Germany,1.2992600365776417,Bank Transfer,,Furniture,In-store,Not Returned,UPS,,High
572803,SKU_1492,USB Cable,-50,2022-02-06 02:00:00.000000 UTC,15.3,,Germany,0.24,paypall,,Apparel,Online,Not Returned,UPS,,High
504140,SKU_1695,Wall Clock,-50,2024-12-02 17:00:00.000000 UTC,-86.02,,United Kingdom,1.7352927172688943,Credit Card,,Electronics,Online,Not Returned,Royal Mail,,High
