CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
81806.0,1215,5,3376.3,3,5,5,Loyal Customers
14461.0,1117,5,7622.43,3,5,5,Loyal Customers
81631.0,118,5,8690.41,5,5,5,Champions
12591.0,89,5,3558.32,5,5,5,Champions
24149.0,30,5,4702.88,5,5,5,Champions
20524.0,398,5,3797.54,5,5,5,Champions
96367.0,123,5,1672.55,5,5,4,Champions
53121.0,166,5,3039.09,5,5,5,Champions
11514.0,399,5,6287.45,5,5,5,Champions
91749.0,428,5,1225.84,5,5,4,Champions
16215.0,88,5,3330.63,5,5,5,Champions
44086.0,401,5,5583.69,5,5,5,Champions
63229.0,134,5,4435.36,5,5,5,Champions
76858.0,109,5,5178.79,5,5,5,Champions
78858.0,24,5,7140.8,5,5,5,Champions
53125.0,424,6,3604.68,5,5,5,Champions
17797.0,1576,4,3173.69,2,4,5,At Risk
13572.0,1095,4,5130.95,3,4,5,Loyal Customers
55912.0,1143,4,1954.7,3,4,5,Loyal Customers
82365.0,1115,4,6952.49,3,4,5,Loyal Customers
28672.0,1233,4,2539.32,3,4,5,Loyal Customers
95100.0,1121,4,4545.04,3,4,5,Loyal Customers
27424.0,1004,4,3542.9,3,4,5,Loyal Customers
63248.0,1216,4,3663.18,3,4,5,Loyal Customers
79472.0,1043,4,5419.21,3,4,5,Loyal Customers
28500.0,1271,4,7043.3,3,4,5,Loyal Customers
77113.0,955,4,3174.09,3,4,5,Loyal Customers
63991.0,1316,4,2845.38,3,4,5,Loyal Customers
93928.0,995,4,1099.95,3,4,4,Loyal Customers
66205.0,1406,4,3510.32,3,4,5,Loyal Customers
30067.0,947,4,6711.01,3,4,5,Loyal Customers
91652.0,945,4,1516.93,3,4,4,Loyal Customers
14613.0,1105,4,3732.77,3,4,5,Loyal Customers
14251.0,1333,4,1818.07,3,4,5,Loyal Customers
15401.0,911,4,3043.17,3,4,5,Loyal Customers
62871.0,455,4,1919.85,4,4,5,Champions
14571.0,456,4,7530.8,4,4,5,Champions
93438.0,481,4,2589.37,4,4,5,Champions
44805.0,721,4,4716.18,4,4,5,Champions
52408.0,540,4,6851.62,4,4,5,Champions
13434.0,668,4,3951.39,4,4,5,Champions
45863.0,742,4,4605.23,4,4,5,Champions
16526.0,597,4,1568.76,4,4,4,Champions
10345.0,455,4,2621.45,4,4,5,Champions
94134.0,607,4,5068.18,4,4,5,Champions
95967.0,537,4,2630.14,4,4,5,Champions
49403.0,896,4,2375.13,4,4,5,Champions
57064.0,541,4,2569.72,4,4,5,Champions
51641.0,771,4,2856.35,4,4,5,Champions
58996.0,748,4,1904.56,4,4,5,Champions
39848.0,445,4,1491.04,4,4,4,Champions
59276.0,835,4,4658.51,4,4,5,Champions
58598.0,573,4,2595.11,4,4,5,Champions
76402.0,670,4,8235.68,4,4,5,Champions
17126.0,737,4,2259.61,4,4,5,Champions
54981.0,447,4,4456.87,4,4,5,Champions
74430.0,700,4,3987.63,4,4,5,Champions
59212.0,687,4,3493.65,4,4,5,Champions
81198.0,761,4,2983.56,4,4,5,Champions
81495.0,707,4,2436.83,4,4,5,Champions
18064.0,708,4,2733.95,4,4,5,Champions
28633.0,773,4,4171.38,4,4,5,Champions
80001.0,504,4,8547.84,4,4,5,Champions
15255.0,458,4,3725.81,4,4,5,Champions
61873.0,849,4,5415.43,4,4,5,Champions
67132.0,432,4,5259.55,4,4,5,Champions
33904.0,864,4,2797.67,4,4,5,Champions
25158.0,764,4,670.23,4,4,3,Potential Loyalist
18887.0,559,4,2025.68,4,4,5,Champions
49381.0,457,4,2519.99,4,4,5,Champions
29607.0,474,4,6427.41,4,4,5,Champions
38424.0,19,4,1554.22,5,4,4,Champions
99791.0,216,4,1710.83,5,4,4,Champions
14638.0,27,4,3920.13,5,4,5,Champions
39260.0,109,4,3165.05,5,4,5,Champions
72481.0,207,4,2803.98,5,4,5,Champions
40067.0,196,4,1600.26,5,4,4,Champions
91686.0,329,4,4047.64,5,4,5,Champions
96320.0,83,4,1359.36,5,4,4,Champions
78378.0,239,4,2268.98,5,4,5,Champions
62733.0,289,4,2439.08,5,4,5,Champions
64333.0,11,4,3678.3,5,4,5,Champions
22456.0,224,4,2813.73,5,4,5,Champions
16230.0,274,4,4073.9,5,4,5,Champions
84151.0,376,4,5822.41,5,4,5,Champions
81251.0,18,4,2667.04,5,4,5,Champions
28420.0,151,4,3496.54,5,4,5,Champions
16019.0,204,4,5525.96,5,4,5,Champions
28855.0,69,4,3295.52,5,4,5,Champions
93942.0,264,4,3870.14,5,4,5,Champions
23734.0,403,4,3913.61,5,4,5,Champions
41324.0,396,4,3367.32,5,4,5,Champions
29954.0,48,4,1991.24,5,4,5,Champions
24264.0,198,4,1501.7,5,4,4,Champions
33779.0,137,4,2935.21,5,4,5,Champions
28846.0,311,4,5795.64,5,4,5,Champions
81470.0,344,4,2817.2,5,4,5,Champions
99827.0,301,4,2765.24,5,4,5,Champions
17214.0,308,4,3059.21,5,4,5,Champions
32783.0,333,4,2112.62,5,4,5,Champions
35343.0,387,4,5604.57,5,4,5,Champions
31080.0,155,4,4680.67,5,4,5,Champions
66845.0,420,4,2344.28,5,4,5,Champions
34741.0,67,4,4340.03,5,4,5,Champions
55038.0,239,4,4324.54,5,4,5,Champions
59433.0,55,4,2988.01,5,4,5,Champions
59858.0,30,4,3353.94,5,4,5,Champions
78450.0,269,4,3056.1,5,4,5,Champions
47672.0,16,4,3541.38,5,4,5,Champions
53276.0,19,4,4231.38,5,4,5,Champions
55145.0,253,4,4106.61,5,4,5,Champions
93069.0,317,4,6992.05,5,4,5,Champions
47638.0,121,4,4949.53,5,4,5,Champions
23776.0,244,4,3062.38,5,4,5,Champions
67934.0,15,4,3226.65,5,4,5,Champions
51445.0,0,4,4353.13,5,4,5,Champions
68777.0,51,4,7244.73,5,4,5,Champions
65780.0,156,4,2703.06,5,4,5,Champions
17213.0,305,4,2795.33,5,4,5,Champions
56913.0,200,4,1056.44,5,4,4,Champions
41341.0,78,4,2579.54,5,4,5,Champions
15565.0,174,4,944.93,5,4,4,Champions
89451.0,5,4,2405.7,5,4,5,Champions
60556.0,189,4,2585.22,5,4,5,Champions
62260.0,381,4,1423.45,5,4,4,Champions
56715.0,86,4,2688.06,5,4,5,Champions
96781.0,117,4,1230.24,5,4,4,Champions
30943.0,50,4,2575.88,5,4,5,Champions
86679.0,157,4,2500.34,5,4,5,Champions
75991.0,51,4,1657.53,5,4,4,Champions
89633.0,75,4,4060.28,5,4,5,Champions
64718.0,78,4,5626.09,5,4,5,Champions
47609.0,58,4,7462.29,5,4,5,Champions
77160.0,412,4,5207.19,5,4,5,Champions
85721.0,109,4,3686.16,5,4,5,Champions
75447.0,228,4,4926.3,5,4,5,Champions
75408.0,380,4,3630.61,5,4,5,Champions
77216.0,310,4,2813.9,5,4,5,Champions
57501.0,393,4,3299.52,5,4,5,Champions
73038.0,409,4,3414.55,5,4,5,Champions
13212.0,45,4,3355.04,5,4,5,Champions
73232.0,317,4,1445.08,5,4,4,Champions
45670.0,1601,3,2737.01,2,3,5,At Risk
42667.0,1722,3,2555.09,2,3,5,At Risk
26614.0,1517,3,3421.47,2,3,5,At Risk
15528.0,1685,3,1178.88,2,3,4,At Risk
72525.0,1570,3,2605.53,2,3,5,At Risk
98872.0,1496,3,6138.56,2,3,5,At Risk
25207.0,1598,3,1949.08,2,3,5,At Risk
52913.0,1696,3,3511.63,2,3,5,At Risk
61659.0,1595,3,7215.51,2,3,5,At Risk
70326.0,1691,3,3856.45,2,3,5,At Risk
68852.0,1766,3,4821.82,2,3,5,At Risk
61529.0,1502,3,138.02,2,3,2,At Risk
13343.0,1510,3,4388.28,2,3,5,At Risk
59163.0,1464,3,4513.5,2,3,5,At Risk
61355.0,1557,3,3740.55,2,3,5,At Risk
75846.0,1721,3,1516.4,2,3,4,At Risk
28086.0,1590,3,3513.14,2,3,5,At Risk
61638.0,1559,3,2483.2,2,3,5,At Risk
31674.0,1665,3,805.69,2,3,3,At Risk
69629.0,1878,3,3033.65,2,3,5,At Risk
39972.0,1721,3,1674.54,2,3,4,At Risk
58345.0,1536,3,4807.35,2,3,5,At Risk
70322.0,1538,3,2540.13,2,3,5,At Risk
40969.0,1588,3,4933.0,2,3,5,At Risk
44142.0,1645,3,3988.05,2,3,5,At Risk
45977.0,1703,3,2953.34,2,3,5,At Risk
